No Urut;Nama Barang;Merk/Type;Kategori;Tahun Perolehan;Sumber Dana;Jumlah Unit; Harga Satuan Rp ; Nilai              Rp ;UE Thn;Tarif %; Akumulasi ; Nilai Buku Rp ; PJ ;;;
119;Komputer;;Komputer;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
120;UPS;Prolink 600 VA;Elektronik Multimedia;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
121;Headphone;Phillips;Elektronik Multimedia;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
122;Printer;HP Laserjet 1020;Komputer;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
123;Meja ;Grace/702;Furniture;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
124;Box Junior;;Peralatan Lainnya;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
125;Arde ;Broco;Elektronik Multimedia;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
126;USB MP3 512 MB;City Black;Komputer;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
127;Batere Charger A3;;Elektronik Multimedia;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
128;Gurinda dan kelengkapannya;M.Slep LSG704;Peralatan Lainnya;2006;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
129;LCD Projector + Layar;BenQ MP610;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
130;Kabel VGA 20 m;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
131;Kabel VGA 35 m;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
132;Kabel Video 120 m;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
133;Projector Lock;;Elektronik Multimedia;2007;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
134;Kabel Listrik 25 m;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
135;Braket Projector;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
136;Layar 250 X 230;;Peralatan Lainnya;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
137;Bor + Baud Projector;;Elektronik Multimedia;2007;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
138;Jack Vidoe;;Elektronik Multimedia;2007;YPM;4;;;4;;#REF!;#REF!; Pusat ;;;
139;Video Distributor;Telview 8 Channel;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
140;LCD Projector ;BenQ CP220;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
141;Layar 244 X 230;;Peralatan Lainnya;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
142;Braket Projector;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
143;Instalasi Projector + Layar;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
144;Foscher S6;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
145;Sleph 6 X 1 1/4;;Elektronik Multimedia;2007;YPM;20;;;4;;#REF!;#REF!; Pusat ;;;
146;Perlengkapan Listrik;MHY.ETR.2X75/M;Elektronik Multimedia;2007;YPM;25;;;4;;#REF!;#REF!; Pusat ;;;
147;Perlengkapan Listrik;KDU.ROS.SDO;Elektronik Multimedia;2007;YPM;3;;;4;;#REF!;#REF!; Pusat ;;;
148;Perlengkapan Listrik;SOB.BRO.S2PI5410;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
149;Perlengkapan Listrik;SOB.BRO.E16210;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
150;Perlengkapan Listrik;KLE.SKO.BET8PAK;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
151;Perlengkapan Listrik;KTV.SYK.SG3C-2V/M;Elektronik Multimedia;2007;YPM;7;;;4;;#REF!;#REF!; Pusat ;;;
152;Yoga CD - 90;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
153;HPM1000;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
154;Lampu ;Tronic;Elektronik Multimedia;2007;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
155;Stand Lampu;;Elektronik Multimedia;2007;YPM;2;;;4;;#REF!;#REF!; Pusat ;;;
156;Klem;;Elektronik Multimedia;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
157;Tali Ties;;Peralatan Lainnya;2007;YPM;1;;;4;;#REF!;#REF!; Pusat ;;;
